prmtop_info,COSMO_atom_type,atom,Bondii_radii,q_s_2013_dmol,q_s_2013_adf,eps_adf,atomic_mass
br,br,br,2.16,0.62,0.57,64170,80
c,c-sp2,c,2,0.62,0.57,37793,12
c1,c-sp,c,2,0.62,0.57,23743,12
c2,c-sp2,c,2,0.62,0.57,37793,12
c3,c-sp3,c,2,0.62,0.57,42479,12
ca,c-sp2,c,2,0.62,0.57,37793,12
cc,c-sp2,c,2,0.62,0.57,37793,12
cd,c-sp2,c,2,0.62,0.57,37793,12
ce,c-sp2,c,2,0.62,0.57,37793,12
cf,c-sp2,c,2,0.62,0.57,37793,12
cg,c-sp2,c,2,0.62,0.57,37793,12
cp,c-sp2,c,2,0.62,0.57,37793,12
cx,c-sp3,c,2,0.62,0.57,42479,12
cy,c-sp3,c,2,0.62,0.57,42479,12
cl,cl,cl,2.05,0.62,0.57,42223,35.5
f,f,f,1.72,0.62,0.57,8157,19
h1,h,h,1.3,0.62,0.57,0,1
h2,h,h,1.3,0.62,0.57,0,1
h3,h,h,1.3,0.62,0.57,0,1
h4,h,h,1.3,0.62,0.57,0,1
h5,h,h,1.3,0.62,0.57,0,1
ha,h,h,1.3,0.62,0.57,0,1
hc,h,h,1.3,0.62,0.57,0,1
hn,h,h,1.3,0.62,0.57,0,1
ho,h,h,1.3,0.62,0.57,0,1
hs,h,h,1.3,0.62,0.57,0,1
i,i,i,2.32,0.62,0.57,106489,127
n,n-sp3,n,1.83,0.62,0.57,36047,14
n1,n-sp,n,1.83,0.62,0.57,5161,14
n3,n-sp3,n,1.83,0.62,0.57,36047,14
na,n-sp3,n,1.83,0.62,0.57,36047,14
nb,n-sp2,n,1.83,0.62,0.57,27820,14
nc,n-sp2,n,1.83,0.62,0.57,27820,14
nd,n-sp2,n,1.83,0.62,0.57,27820,14
nh,n-sp3,n,1.83,0.62,0.57,36047,14
no,n-sp2,n,1.83,0.62,0.57,27820,14
o,o-sp2,o,1.72,0.62,0.57,7716,16
oh,o-sp3-h,o,1.72,0.62,0.57,13186,16
on,o-sp2-n,o,1.72,0.62,0.57,11880,16
os,o-sp3,o,1.72,0.62,0.57,8258,16
p5,p,p,2.12,0.62,0.57,56643,31
s4,s,s,2.16,0.62,0.57,67683,32
s6,s,s,2.16,0.62,0.57,67683,32
sh,s,s,2.16,0.62,0.57,67683,32
ss,s,s,2.16,0.62,0.57,67683,32
