solute,donor,acceptor
1_bromo_2_chloroethane,0,0
1_bromo_2_methylpropane,0,0
1_bromobutane,0,0
1_bromoheptane,0,0
1_bromohexane,0,0
1_bromooctane,0,0
1_bromopentane,0,0
1_bromopropane,0,0
1_chloro_222_trifluoroethane,0,3
1_chlorobutane,0,0
1_chloroheptane,0,0
1_chlorohexane,0,0
1_chloropentane,0,0
1_chloropropane,0,0
1_ethylnaphthalene,0,0
1_iodobutane,0,0
1_iodoheptane,0,0
1_iodohexane,0,0
1_iodopentane,0,0
1_iodopropane,0,0
1_methyl_imidazole,0,1
1_methyl_pyrrole,0,0
1_methylcyclohexene,0,0
1_methylnaphthalene,0,0
1_naphthol,1,1
1_naphthylamine,1,1
1_nitrobutane,0,2
1_nitropentane,0,3
1_nitropropane,0,2
11_diacetoxyethane,0,4
11_dichloroethane,0,0
11_dichloroethene,0,0
11_diethoxyethane,0,2
11_difluoroethane,0,2
111_trichloroethane,0,0
111_trifluoro_222_trimethoxyethane,0,6
111_trifluoropropan_2_ol,1,4
111_trimethoxyethane,0,3
1112_tetrachloroethane,0,0
112_trichloro_122_trifluoroethane,0,3
112_trichloroethane,0,0
1122_tetrachloroethane,0,0
12_diacetoxyethane,0,4
12_dibromoethane,0,0
12_dichlorobenzene,0,0
12_dichloroethane,0,0
12_dichloropropane,0,0
12_diethoxyethane,0,2
12_dimethoxyethane,0,2
12_ethanediol,2,2
123_trichlorobenzene,0,0
123_trimethylbenzene,1,1
1234_tetrachlorobenzene,0,0
1235_tetrachlorobenzene,0,0
124_trichlorobenzene,0,0
124_trimethylbenzene,0,0
1245_tetrachlorobenzene,0,0
13_dichlorobenzene,0,0
13_dichloropropane,0,0
13_dimethylnaphthalene,0,0
135_trichlorobenzene,0,0
135_trimethylbenzene,0,0
14_dichlorobenzene,0,0
14_dichlorobutane,0,0
14_dimethyl_piperazine,0,2
14_dimethylnaphthalene,0,0
14_dioxane,0,2
2_bromo_2_methylpropane,0,0
2_bromopropane,0,0
2_butoxyethanol,1,2
2_chloro_111_trimethoxyethane,0,3
2_chloro_2_methylpropane,0,0
2_chloroaniline,1,1
2_chlorobutane,0,0
2_chlorophenol,1,1
2_chloropropane,0,0
2_chloropyridine,0,1
2_chlorotoluene,0,0
2_ethoxyethanol,1,2
2_ethylpyrazine,0,2
2_ethylpyridine,0,1
2_ethyltoluene,0,0
2_fluorophenol,1,2
2_iodophenol,1,1
2_iodopropane,0,0
2_isobutylpyrazine,0,2
2_methoxy_111_trimethoxyethane,0,3
2_methoxyaniline,1,2
2_methoxyethanamine,1,2
2_methoxyphenol,1,2
2_methyl_but_2_ene,0,0
2_methylbut_2_ene,0,0
2_methylbuta_13_diene,0,0
2_methylbutan_1_ol,1,1
2_methylbutan_2_ol,1,1
2_methylbutane,0,0
2_methylhexane,0,0
2_methylpent_1_ene,0,0
2_methylpentan_2_ol,1,1
2_methylpentan_3_ol,1,1
2_methylpentane,0,0
2_methylpropan_1_ol,1,1
2_methylpropan_2_ol,1,1
2_methylpropane,0,0
2_methylpropene,0,0
2_methylpyrazine,0,2
2_methylpyridine,1,1
2_methyltetrahydrofuran,0,1
2_methylthiophene,0,1
2_naphthol,1,1
2_naphthylamine,1,1
2_nitroaniline,1,3
2_nitrophenol,1,3
2_nitropropane,0,2
2_nitrotoluene,0,2
2_phenylethanol,1,1
2_propoxyethanol,1,2
22_dimethylbutane,0,0
22_dimethylpentane,0,0
22_dimethylpropane,0,0
222_trifluoroethanol,1,4
224_trimethylpentane,0,0
225_trimethylhexane,0,0
23_dimethylbuta_13_diene,0,0
23_dimethylbutane,0,0
23_dimethylnaphthalene,0,0
23_dimethylpentane,0,0
23_dimethylphenol,1,1
23_dimethylpyridine,0,1
234_trimethylpentane,0,0
24_dimethylpentan_3_one,0,1
24_dimethylpentane,0,0
24_dimethylphenol,1,1
24_dimethylpyridine,0,1
25_dimethylphenol,1,1
25_dimethylpyridine,0,1
25_dimethyltetrahydrofuran,0,1
26_dimethylaniline,1,1
26_dimethylnaphthalene,0,0
26_dimethylphenol,1,1
26_dimethylpyridine,0,1
3_acetylpyridine,0,2
3_chloroaniline,1,1
3_chlorophenol,1,1
3_chloroprop_1_ene,0,0
3_chloropyridine,0,1
3_cyanophenol,1,2
3_cyanopyridine,0,2
3_ethylphenol,1,1
3_ethylpyridine,0,1
3_formylpyridine,0,2
3_hydroxybenzaldehyde,1,3
3_methoxyaniline,1,2
3_methoxyphenol,1,2
3_methyl_1h_indole,1,0
3_methyl_but_1_ene,0,0
3_methylbut_1_ene,0,0
3_methylbutan_1_ol,1,1
3_methylbutan_2_one,0,1
3_methylbutanoic_acid,1,2
3_methylheptane,0,0
3_methylhexane,0,0
3_methylpentane,0,0
3_methylpyridine,0,1
3_nitroaniline,1,3
3_nitrophenol,1,3
3_nitrotoluene,0,2
3_phenylpropanol,1,1
33_dimethylbutan_2_one,0,1
33_dimethylpentane,0,0
333_trimethoxypropionitrile,0,4
34_dimethylphenol,1,1
34_dimethylpyridine,0,1
35_dimethylphenol,1,1
35_dimethylpyridine,0,1
4_acetylpyridine,0,2
4_bromophenol,1,1
4_bromotoluene,0,0
4_chloro_3_methylphenol,1,1
4_chloroaniline,1,1
4_chlorophenol,1,1
4_cyanophenol,1,2
4_cyanopyridine,0,2
4_ethylphenol,1,1
4_ethylpyridine,0,1
4_ethyltoluene,0,0
4_fluorophenol,1,2
4_formylpyridine,0,2
4_hydroxybenzaldehyde,1,2
4_isopropyltoluene,0,0
4_methoxyacetophenone,0,2
4_methoxyaniline,1,2
4_methyl_1h_imidazole,1,1
