solute,dG_es_MD,dG_cav_MD,dG_disp_MD,dG_np_MD,dG_tot_MD,dG_tot_expt,dG_es_SLIC,M_w,SASA_VdW,SESA_VdW,SESV_VdW,VdWA_VdW,VdWV_VdW,SASA_Mob,SESA_Mob,SESV_Mob,VdWA_Mob,VdWV_Mob,SASA_Bondii,SESA_Bondii,SESV_Bondii,VdWA_Bondii,VdWV_Bondii
1_bromo_2_chloroethane,-1.77,11.42,-9.63,1.79,0.02,-1.95,-2.03,143.4,239.5,103.9,79.2,103.8,81.2,244.3,107.4,85.7,111.6,79.2,266.7,123.3,107.6,125.4,105.4
1_bromo_2_methylpropane,-0.95,12.91,-10.72,2.19,1.24,-0.03,-1.41,136.9,262.8,120.3,100.6,120.2,102.8,276.3,130,116.5,138.8,106.3,282.3,135.2,126.2,138.9,122.5
1_bromobutane,-0.97,13.09,-10.44,2.65,1.68,-0.4,-1.46,136.9,276.8,126.7,101,126.6,103.2,289.9,136.5,117.5,144.9,106.8,297.8,142.5,127.5,145.9,123.9
1_bromoheptane,-0.97,18.19,-15.56,2.63,1.66,0.34,-1.46,178.9,371.3,184.2,156.2,184,159,388.1,198.3,183.3,214.3,165.3,393.9,202.1,190.6,208.5,183.5
1_bromohexane,-0.97,16.75,-14,2.75,1.78,0.18,-1.43,164.9,340,165.1,137.9,164.9,140.4,355.6,177.8,161.4,191.3,145.7,362,182.3,169.7,187.7,163.7
1_bromooctane,-0.97,20.79,-17.9,2.89,1.92,0.52,-1.45,192.9,402.5,203.3,174.5,203,177.5,420.7,218.9,205.2,237.3,184.6,425.7,221.8,211.6,229.2,203.4
1_bromopentane,-0.96,15.05,-12.61,2.44,1.48,-0.1,-1.43,150.9,308.8,146.1,119.6,146,121.9,323.2,157.4,139.6,168.4,126.3,330.3,162.6,148.7,167,143.9
1_bromopropane,-0.98,11.48,-9.21,2.27,1.29,-0.56,-1.46,122.9,245.6,107.6,82.6,107.6,84.6,257.4,116,95.6,122,87.4,266.1,122.8,106.5,125.2,104
1_chloro_222_trifluoroethane,-2.27,9.8,-7.37,2.43,0.16,0.06,-2.73,118.5,230.4,98.9,75.6,98.8,77.4,241.3,106.6,87.5,111.5,80.9,256.8,117.6,102.4,120.2,99.9
1_chlorobutane,-1.22,12.24,-10.03,2.21,0.99,-0.16,-1.61,92.5,270,122.4,96.6,122.3,98.6,284.3,133.1,113.9,141.2,103.6,289.7,137.3,121.2,140.5,117.7
1_chloroheptane,-1.21,17.46,-14.72,2.74,1.53,0.29,-1.62,134.5,364.4,179.9,151.7,179.7,154.5,382.6,195,179.7,210.6,162,385.7,196.8,184.2,203,177.3
1_chlorohexane,-1.23,15.8,-13.34,2.46,1.23,0,-1.66,120.5,329.1,159,133.3,158.8,135.8,346,172.5,157.5,185.7,142.4,348.9,174.8,162.8,180,157.1
1_chloropentane,-1.22,14.06,-11.66,2.4,1.18,-0.07,-1.67,106.5,298.7,140.3,115.1,140.2,117.4,314.3,152.4,135.9,163.3,122.9,318,155.5,142.2,159.8,137.5
1_chloropropane,-1.25,10.35,-8.18,2.17,0.92,-0.33,-1.55,78.5,235.5,101.9,78.2,101.8,80.2,248.6,111,91.9,116.9,84.1,253.7,115.7,100,117.9,97.7
1_ethylnaphthalene,-4.61,18.33,-16.72,1.61,-3,-2.4,-4.97,156,360.1,183.4,165.2,183.3,168.1,380.5,198.6,189.8,209.8,176,378.7,200,205.3,205,200.1
1_iodobutane,-1.83,13.76,-11.35,2.41,0.58,-0.25,-2.62,183.9,286.4,132.7,107.6,132.6,109.8,298.8,142.1,123.6,150.9,112.8,310.1,150.6,137.7,154.2,133.8
1_iodoheptane,-1.8,19.86,-16.87,2.99,1.19,0.27,-2.58,225.9,380.9,190.2,162.7,190,165.6,397.2,204,189.5,220.3,171.1,406.2,210.1,200.9,216.7,193.6
1_iodohexane,-1.81,17.34,-14.87,2.47,0.66,0.08,-2.57,211.9,349.6,171.1,144.5,170.9,147,364.5,183.4,167.5,197.2,151.7,374.4,190.4,179.9,196,173.8
1_iodopentane,-1.82,15.74,-13.26,2.48,0.66,-0.14,-2.58,197.9,318.5,152.1,126,152,128.5,332.1,163,145.7,174.4,132.2,342.6,170.7,158.9,175.3,153.9
1_iodopropane,-1.87,12.16,-10.29,1.87,0,-0.53,-2.63,169.9,255.2,113.7,89.3,113.6,91.2,266.3,121.6,101.7,127.9,93.4,278.4,130.9,116.7,133.5,114
1_methyl_imidazole,-7.06,11.94,-11.21,0.73,-6.33,-8.41,-7.65,82,243.4,106.6,81.7,106.5,83.6,252.9,113.1,91.9,116.4,85.9,262,121.3,106.6,123,104.8
1_methyl_pyrrole,-3.9,11.72,-10.41,1.31,-2.59,-2.89,-4.43,81,252.3,111.7,86.4,111.7,88.4,263.8,119.6,98.1,123.1,91.3,268.8,125.6,111.5,127.3,109.6
1_methylcyclohexene,-0.66,14.25,-12.26,1.99,1.33,0.67,-0.83,96,291,137.6,116.5,137.5,119,312.1,153.1,140.7,163.6,128.2,304,148.8,140.4,152.4,136.5
1_methylnaphthalene,-4.52,17.66,-16.38,1.28,-3.24,-2.44,-5.05,142,333.6,166.3,145.4,166.3,148.2,352.3,180,166.7,187.1,155.9,352.8,182.8,183.5,185.9,180
1_naphthol,-8.31,17.32,-16.52,0.8,-7.51,-7.67,-10.39,144,322.5,158.9,137.8,158.8,140.3,333.3,167.4,152.4,173.4,143,342.3,175.5,174.1,178.6,170.9
1_naphthylamine,-8.63,17.59,-16.72,0.87,-7.76,-7.28,-9.68,143,328.1,162.5,140.9,162.4,143.6,335.9,169.2,154.8,175.3,145.3,347.3,178.9,178.4,182.2,174.7
1_nitrobutane,-2.43,14.96,-14.04,0.92,-1.51,-3.09,-3.15,103,288.6,133.8,107.2,133.7,109.5,301,143.4,124.1,153.3,112.2,306.2,147.5,131.2,151.8,126.5
1_nitropentane,-2.4,16.78,-15.67,1.11,-1.29,-2.82,-3.1,117,319.6,152.8,125.7,152.6,128,333.2,163.7,145.9,176.1,131.6,337.7,167,152,172.3,146.2
1_nitropropane,-2.44,12.61,-11.55,1.06,-1.38,-3.34,-3.19,89,257.4,114.8,88.8,114.7,90.9,268.5,122.9,102.2,130.3,92.8,274.5,127.8,110.1,131.1,106.6
